# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,"10C ,2.5mm2",Contractor,lm,,,2000,,,,,,,,,,,,,9.52380952380952
,,,"12C ,2.5mm2",,lm,,,,,,,,,,,,,,,,0
,,,"14C ,2.5mm2",,lm,,,,,,,,,,,,,,,,0
,,,"24C ,2.5mm2",,lm,,,,,,,,,,,,,,,,0
EL-10-0004,,CABLE,"Insulation grade - service voltage : 300/500V Stranded tinned copper conductor
XLPE insulation
Individual & Overall screen
PVC inner sheath
Armour
Galvanized steel wire braid coverage(min 80% coverage to relevant IEC)
The outer sheath shall be flame retardant in accordance with IEC.
Shall be resistant to water, UV, and aliphatic hydrocarbons or aromatic hydrocarbons (when required)",,,,,,,,,,,,,,,,,,0
,,,6Tr 1.5 mm2,,lm,,,,,,,,,,,,,,,,0
,,,8Tr 1.5 mm2,,lm,,,,,,,,,,,,,,,,0
,,,"Single mode, 9/125μm, armored Fiber Optic cable, with HDPE outer - sheath, With FO cable connection material， 4 core",Contractor,lm,,1600,2000,,,,,,,,,,,,,9.52380952380952
EL-10-0005,,TERMINATION KITS,"33/18(6.3kv) TERMINATION KITS for SWITCHGEAR AND TRANSFORMERHEAT SHRINKABLE or EQUIVALENT TYPE STRESS RELIEVING TUBE,
INSULATING BOOTS, & OTHER COMPLETE ACCESSORIES FOR THE FOLLOWING CU/XLPE/AWA/PVC FOR 1C POWER CABLE
1SET : 3EA FOR 3/C CABLE
STRAIGHT TYPE",,,,,,,,,,,,,,,,,,0
,,,33KV-1/C-300 mm2,,set,,,,,,,,,,,,,,,,0
EL-10-0006,,TERMINATION KITS,"6.35/11kv(12kv) TERMINATION KITS for SWITCHGEAR AND TRANSFORMERHEAT SHRINKABLE or EQUIVALENT TYPE STRESS RELIEVING TUBE,
INSULATING BOOTS, & OTHER COMPLETE ACCESSORIES FOR THE FOLLOWING CU/XLPE/AWA/PVC/LS FOR 1C POWER CABLE; CU/XLPE/SWA/PVC/LS FOR 3C POWER CABLE
1SET : 3EA FOR 3/C CABLE
With cable separable connectors",,,,,,,,,,,,,,,,,,0
,,,11KV-1/C-630 mm2,Contractor,set,,,,,,,,,,,,,,,,0
,,LIGHTING POLE,"FOR STREET LIGHTING, 150W,LED Flood Lighting
10M POLE (for LED Lighting Fixture , Column Mounting Type ) HOT DIPPED GALVANIZED STEEL COLUMN COLUMN MOUNTING TYPE ON CONCRETE FOUNDATION WITH A PLATE ON POLE FOR MOUNTING EXTERNAL JUNCTION BOX   AND ALL NECESSARY MOUNTING ACCESSORIES COMPLETE  NUMBER ANCHOR BOLTS AND WASHERS FOR COLUMN",Contractor,set,5,,,,,,,,,,,,,,,793.650793650794,,NEW ITEM
,,LIGHTING FIXTURE,"38W,LED Square Light Fitting, Weatherproof, recessed mount",Contractor,set,5,,,,,,,,,,,,,,,317.460317460317,,NEW ITEM
,,Other,Cable Route Marker Post,Subcontractor,set,150,,,,,,,,,105.820105820106,,,,,,423.280423280423
EL-11,,,CATHODIC PROTECTION
EL-12,,,ELECTRICAL HEAT TRACING

EL-13,,,ELECTRICAL MOTOR TEST

,,,Electrical  (Brown) TOTAL
NOTES:
